control_id,type,topic,clause,statement,doc_title,page,doc_id,category,control_type,severity,policy_tags,implementation_hint
QCB-GAP-P11-I10,MUST,Security Controls,,"12.5 A Financial Institution must define and implement physical access management controls and processes to protect DR and backup data centers, network equipment rooms, storage sites, servers and workstations, in accordance with the Sector-Specific Security Regulation.",Data Handling and Protection Regulation.pdf,11,data_handling_and_protection_regulation,Technical,Physical Access Management,Low,DR and Backup Data Center; Network Equipment Rooms; Storage Sites; Servers; Workstations,"Implement physical access controls and processes to ensure secure access to DR and backup data centers, network equipment rooms, storage sites, servers, and workstations."
QCB-GAP-P11-I11,MUST,Security Testing,,12.6 A Financial Institution must regularly test its Business Continuity and Disaster Recovery plans.,Data Handling and Protection Regulation.pdf,11,data_handling_and_protection_regulation,Operational,Technical,Low,Business Continuity; Disaster Recovery,Schedule regular testing of Business Continuity and Disaster Recovery plans.
QCB-GAP-P12-I0,MUST,General,,"Data Handling and Protection Regulation 12 12.7 A Financial Institution must consider any legal, reputational and operational impediments within its disaster recovery plan.",Data Handling and Protection Regulation.pdf,12,data_handling_and_protection_regulation,Governance,Technical,Low,Disaster Recovery; Regulatory Compliance,"Ensure regular audits and updates to the disaster recovery plan to address legal, reputational, and operational risks."
QCB-GAP-P12-I1,MUST,Assurance & Audit,,"12.8 A Financial Institution must assess jurisdictional, legal, regulatory, political, and environmental risks associated with foreign DR and backup locations.",Data Handling and Protection Regulation.pdf,12,data_handling_and_protection_regulation,Governance,Technical,Low,Data Security; Compliance,"Implement a risk assessment process to identify and mitigate jurisdictional, legal, regulatory, political, and environmental risks associated with foreign DR and backup locations."
QCB-GAP-P12-I2,MUST,General,,12.9 A Financial Institution must remain responsible and accountable for its disaster recovery readiness activities.,Data Handling and Protection Regulation.pdf,12,data_handling_and_protection_regulation,Governance,Technical,Low,Disaster Recovery; Responsibility,Ensure regular audits and reviews of disaster recovery plans.
QCB-GAP-P12-I3,MUST,Regulatory Approval,,"12.10 A Financial Institution must develop a disaster recovery communication plan with relevant stakeholders, including QCB, shareholders, employees, key group entities, Third Parties, customers, regulators and the media.",Data Handling and Protection Regulation.pdf,12,data_handling_and_protection_regulation,Governance,Technical,Low,Disaster Recovery; Communication Plan,Develop a clear and comprehensive communication plan with all stakeholders.
QCB-GAP-P12-I4,MUST,Outsourcing & Vendor Risk,,12.11 A Financial Institution must ensure that business continuity is not disrupted by dependencies on outsourcing contracts with Third Party service providers.,Data Handling and Protection Regulation.pdf,12,data_handling_and_protection_regulation,Governance,Technical,Low,Business Continuity; Outsourcing,Review and update outsourcing contracts to ensure they do not disrupt business continuity.
QCB-GAP-P12-I5,MUST,General,,12.12 A Financial Institution must maintain its backup and DR environments as per the following table: Local Banks & Insurance Companies Branches of Foreign Banks & Insurance Companies Other Local Financial Institutions Branches of Other Foreign Financial Institutions Local DR Mandatory Qatar-Based Systems – Mandatory Other – Recommended Mandatory Qatar-Based Systems – Mandatory Other – Recommended Foreign DR Optional.,Data Handling and Protection Regulation.pdf,12,data_handling_and_protection_regulation,Governance,Technical,Low,Backup and DR Management; Regulatory Compliance,"Ensure that backup and DR environments are maintained according to the specified table for local, foreign, and foreign branches."
QCB-GAP-P12-I6,MUST,Regulatory Approval,,"However, the QCB reserves the right to direct any Financial Institution to maintain a foreign DR at its discretion Local backup Mandatory Mandatory Mandatory Mandatory Foreign backup Mandatory Mandatory Recommended Recommended 12.13 A Financial Institution must request approval from QCB when it utilizes foreign DR and backup environments, in alignment with section 15 below.",Data Handling and Protection Regulation.pdf,12,data_handling_and_protection_regulation,Governance,Technical,High,DR Governance; DR Approval,Ensure compliance with QCB's approval process for utilizing foreign DR and backup environments.
QCB-GAP-P12-I8,MUST,Data Protection,,"Data Privacy Protection Requirements 13.1 A Financial Institution must ensure that Personal Data, PII and SPI is: 13.1.1 Processed in compliance to the Law No.",Data Handling and Protection Regulation.pdf,12,data_handling_and_protection_regulation,Governance,Technical,Low,Data Privacy; Compliance,Ensure adherence to legal and regulatory requirements through robust data protection measures.
QCB-GAP-P12-I12,MUST,Data Protection,,"13.2 A Financial Institution must ensure that the systems and controls address the following: 13.2.1 Ensure the confidentiality, integrity and availability of data and information.",Data Handling and Protection Regulation.pdf,12,data_handling_and_protection_regulation,Technical,Technical,Low,Data Security; Compliance,"Implement encryption, access controls, and regular security audits."
QCB-GAP-P13-I0,MUST,Risk Management,,"Data Handling and Protection Regulation 13 13.3 A Financial Institution must deploy systems and controls that enable it to identify, assess, monitor and manage data protection risk.",Data Handling and Protection Regulation.pdf,13,data_handling_and_protection_regulation,Technical,Governance,Medium,Data Protection; Risk Management,Implement a comprehensive data protection policy and establish a dedicated risk management team.
QCB-GAP-P13-I1,MUST,Data Protection,,13.4 A Financial Institution must assess privacy protection and data protection controls when processing data in a semi-autonomous or autonomous manner.,Data Handling and Protection Regulation.pdf,13,data_handling_and_protection_regulation,Governance,Technical,Low,Data Protection; Privacy Controls,Implement appropriate privacy and data protection controls when handling semi-autonomous or autonomous data processing.
QCB-GAP-P13-I2,MUST,Regulatory Approval,,13.5 A Financial Institution must seek approval from QCB prior to processing data and information within fully autonomous decision-making systems.,Data Handling and Protection Regulation.pdf,13,data_handling_and_protection_regulation,Governance,Technical,High,Data Privacy; Decision-Making Controls,Ensure all data and information processed by fully autonomous systems are reviewed and approved by QCB.
QCB-GAP-P13-I4,MAY,General,,Customer Data Protection 14.1 A Financial Institution may process Data Subject information only when one of the follow ing conditions (at least) is met: 14.1.1 The Financial Institution has received explicit consent from the Data Subject.,Data Handling and Protection Regulation.pdf,13,data_handling_and_protection_regulation,Governance,Technical,Low,Consent; Data Protection,Ensure that explicit consent is obtained from Data Subjects before processing their information.
QCB-GAP-P13-I7,MUST,Security Controls,,"14.2 A Financial Institution must establish proper procedures to obtain consent from its customers to collect, access, process, share, and retain data, unless it is necessary for regulatory activity, legal activity or contract fulfilment.",Data Handling and Protection Regulation.pdf,13,data_handling_and_protection_regulation,Governance,Technical,Low,Data Privacy; Customer Consent,Implement a clear and transparent consent process for data collection and processing.
QCB-GAP-P13-I11,MUST,General,,"14.3 A Financial Institution must periodically review its consent procedures to ensure that consent is freely given, specific, informed and unambiguous.",Data Handling and Protection Regulation.pdf,13,data_handling_and_protection_regulation,Governance,Technical,Low,Consent Procedures Review; Informed Consent,Schedule quarterly reviews of consent procedures to ensure compliance with ethical standards.
QCB-GAP-P13-I12,MUST,Data Protection,,14.4 A Financial Institution must establish the necessary procedures to ensure that customers: 14.4.1 Obtain confirmation of whether their personal data is being processed.,Data Handling and Protection Regulation.pdf,13,data_handling_and_protection_regulation,Operational,Technical,Low,Data Protection; Customer Rights,Implement a verification process for customer consent and data processing.
QCB-GAP-P13-I17,SHALL,Resilience & BCP,,The Financial Institution shall establish a policy for data deletion that considers the following conditions: 14.4.5.1 Deletion will not impact the overall business continuity of the Financial Institution.,Data Handling and Protection Regulation.pdf,13,data_handling_and_protection_regulation,Governance,Technical,Low,Data Governance; Data Deletion Policy,Develop and enforce a clear data deletion policy that ensures compliance with business continuity requirements without compromising the institution's operations.
QCB-GAP-P13-I20,MUST,Assurance & Audit,,"14.5 A Financial Institution processing information associated with a minor must verify that the person giv ing consent, holds parental responsibility “legitimate interest” for the minor.",Data Handling and Protection Regulation.pdf,13,data_handling_and_protection_regulation,Governance,Technical,Low,Consent Verification; Minor Consent,"Implement a system that verifies parental consent for minors, ensuring compliance with legal standards."
QCB-GAP-P13-I21,MUST,General,,"14.6 A Financial Institution must define rejection use cases for requests made as per requirement (14.4), whilst maintaining the right to reject the requests.",Data Handling and Protection Regulation.pdf,13,data_handling_and_protection_regulation,Operational,Technical,Low,Rejection Use Cases; Request Management,Ensure that rejection use cases are clearly defined and maintained for requests made in accordance with the requirement.
QCB-GAP-P14-I0,MAY,General,,"Data Handling and Protection Regulation 14 14.7 A Financial Institution may define a process for expiring consent and consent renewal, if required by certain activities undertaken by the financial institution.",Data Handling and Protection Regulation.pdf,14,data_handling_and_protection_regulation,Governance,Technical,Low,Data Protection; Consent Management,Implement a process for expiring consent and renewing consent as required by the financial institution's activities.
QCB-GAP-P14-I1,MUST,General,,"14.8 A Financial Institution must ensure that the customer has the right to refuse and withdraw consent at any time, except where processing is necessary for legal and regulatory obligations or contract fulfilment.",Data Handling and Protection Regulation.pdf,14,data_handling_and_protection_regulation,Governance,Technical,Low,Customer Consent; Data Privacy,Implement a clear and accessible opt-out mechanism for customers.
QCB-GAP-P14-I2,MAY,General,,14.9 A Financial Institution may establish a consent management portal for customers to view and update the consent they have granted a Financial Institution.,Data Handling and Protection Regulation.pdf,14,data_handling_and_protection_regulation,Governance,Technical,Low,Consent Management Portal; Customer Consent,Develop a user-friendly consent management portal for customers to view and update their consent preferences.
QCB-GAP-P14-I3,MUST,General,,14.10 A Financial Institution must maintain a record of the consent granted including but not limited to the following: 14.10.1 Purpose of Data Processing.,Data Handling and Protection Regulation.pdf,14,data_handling_and_protection_regulation,Governance,Technical,Low,Data Protection; Consent Management,"Implement a system to track and record all consent processes, including the purpose of data processing."
QCB-GAP-P14-I9,MUST,General,,14.11 A Financial Institution must inform the customer of the impact of not granting or withdrawing consent on the provision of services to the customer.,Data Handling and Protection Regulation.pdf,14,data_handling_and_protection_regulation,Governance,Technical,Low,Customer Consent; Service Provision,Implement a clear notification process for customers regarding the consequences of not granting or withdrawing consent for service provision.
QCB-GAP-P14-I11,MUST,Regulatory Approval,,"Foreign Data Storage and Transfer Requirements 15.1 A Financial Institution must not store or transfer Personal Data, PII, SPI and SFI to a foreign jurisdiction unless it has received approval from QCB.",Data Handling and Protection Regulation.pdf,14,data_handling_and_protection_regulation,Governance,Technical,High,Data Protection; Data Transfer; Approval,Ensure all data transfers to foreign jurisdictions are approved by QCB.
QCB-GAP-P14-I12,MUST,Assurance & Audit,,"15.2 A Financial Institution must conduct due diligence on jurisdictions and Third Parties that would require foreign data transfers or storage, which includes but may not be limited to: 15.2.1 A risk assessment which includes risks associated with data security and storing data in foreign jurisdictions.",Data Handling and Protection Regulation.pdf,14,data_handling_and_protection_regulation,Governance,Technical,Low,Data Security; Compliance,Implement a thorough risk assessment for data transfers and storage in foreign jurisdictions.
QCB-GAP-P14-I14,MUST,Security Controls,,"15.3 A Financial Institution must establish mechanisms to control access to data stored in the foreign jurisdiction, including procedures for granting and revoking access, monitoring user activity, and detecting unauthorized access or data breaches.",Data Handling and Protection Regulation.pdf,14,data_handling_and_protection_regulation,Technical,Governance,Medium,Data Security; Access Control; Compliance,"Implement multi-factor authentication, log access attempts, and conduct regular audits."
QCB-GAP-P14-I15,MUST,Data Protection,,15.4 A Financial Institution must ensure at all times that any transfer of personal data to a foreign jurisdiction maintains an adequate level of protection in accordance with the standards defined within this regulation and any other relevant laws and regulations.,Data Handling and Protection Regulation.pdf,14,data_handling_and_protection_regulation,Governance,Technical,High,Data Protection; Data Transfer; Regulatory Compliance,Ensure all data transfers comply with the institution's internal policies and legal standards.
QCB-GAP-P14-I16,MUST,Assurance & Audit,,15.5 A Financial Institution must identify risks associated with operational processes and systems at separate geographic locations.,Data Handling and Protection Regulation.pdf,14,data_handling_and_protection_regulation,Operational,Technical,Low,Operational Risks; Geographic Location,Implement geographically isolated systems and processes to mitigate operational risks.
QCB-GAP-P14-I17,MUST,General,,15.6 A Financial Institution must assess the legal and regulatory requirements of foreign jurisdictions where they process data that may restrict a Financial Institution’s ability to meet regulatory obligations in Qatar.,Data Handling and Protection Regulation.pdf,14,data_handling_and_protection_regulation,Legal,Governance,High,Data Privacy; Compliance,Ensure compliance with relevant legal and regulatory requirements in all jurisdictions where data is processed.
QCB-GAP-P15-I1,MUST,Regulatory Approval,,Data Breaches 16.1 A Financial Institution must report Data Breaches and Data Privacy Breaches as per QCB’s incident reporting guidelines.,Data Handling and Protection Regulation.pdf,15,data_handling_and_protection_regulation,Governance,Technical,Low,Data Breach Reporting; Incident Reporting,Ensure compliance by following QCB’s incident reporting guidelines for both data breaches and data privacy breaches.
QCB-GAP-P15-I2,MUST,Regulatory Approval,,16.2 A Financial Institution must classify any Data Breach or Data Privacy Beach as an incident and adhere to incident reporting guidelines as directed by the QCB.,Data Handling and Protection Regulation.pdf,15,data_handling_and_protection_regulation,Governance,Technical,Low,IncidentResponse; DataPrivacy,Ensure compliance with incident reporting guidelines.
QCB-GAP-P15-I3,MUST,Regulatory Approval,,16.3 A Financial Institution must report Data Breaches and Data Privacy Breaches to QCB and the authorized agencies in Qatar which includes the National Cyber Security Agency and the Ministry of Interior.,Data Handling and Protection Regulation.pdf,15,data_handling_and_protection_regulation,Operational,Technical,Low,Data Breach Reporting; Data Privacy Breach Reporting,Ensure compliance by implementing a system that automatically reports data breaches and data privacy breaches to QCB and authorized agencies in Qatar.
QCB-GAP-P15-I4,MUST,General,,"16.4 A Financial Institution must assess the impact of the breach, upon identification.",Data Handling and Protection Regulation.pdf,15,data_handling_and_protection_regulation,Operational,Technical,Low,Data Breach Management; Risk Assessment,Implement a breach notification and impact assessment process.
QCB-GAP-P15-I5,MUST,General,,16.5 A Financial Institution must assess the need to report a breach to its customers.,Data Handling and Protection Regulation.pdf,15,data_handling_and_protection_regulation,Operational,Technical,Medium,Data Breach Reporting; Customer Notification,Implement a system to automatically notify customers of data breaches.
QCB-GAP-P15-I6,MUST,General,,"16.6 A Financial Institution must trigger action from relevant stakeholders, including employees and customers, to circumvent potential impact of the breach.",Data Handling and Protection Regulation.pdf,15,data_handling_and_protection_regulation,Operational,Technical,Low,Data Breach Response; Employee Training; Customer Communication,Implement a clear and concise notification process for employees and customers in case of a breach.
QCB-GAP-P15-I8,MUST,Regulatory Approval,,Exemptions 17.1 A Financial Institution seeking an exemption from any requirement within this regulation must request it from QCB.,Data Handling and Protection Regulation.pdf,15,data_handling_and_protection_regulation,Governance,Technical,Low,RegulatoryExemptions; QCBExemptionRequest,Financial institutions should request exemptions from QCB through the QCB portal.
QCB-GAP-P15-I10,MUST,General,,17.2 A Financial Institution must link its exemption request to a specific requirement in this regulation from which it is seeking a waiver.,Data Handling and Protection Regulation.pdf,15,data_handling_and_protection_regulation,Governance,Technical,Low,ExemptionRequest; WaiverRequirement,Ensure all exemption requests are linked to specific requirements in the regulation that allow for waivers.
QCB-GAP-P15-I11,MUST,General,,17.3 A Financial Institution must support its exemption request with a clear and documented business case or rationale.,Data Handling and Protection Regulation.pdf,15,data_handling_and_protection_regulation,Governance,Technical,Low,ExemptionRequest; Documentation,Ensure all exemption requests are accompanied by a clear and documented business case or rationale.
QCB-GAP-P15-I12,MUST,General,,17.4 A Financial Institution must ensure that the appropriate individuals or levels of authority within the Financial Institution consistently approve the exemption.,Data Handling and Protection Regulation.pdf,15,data_handling_and_protection_regulation,Governance,Technical,Low,Exemption Approval,Implement a centralized approval process for exemption requests.
QCB-GAP-P15-I13,MUST,Register & Reporting,,17.5 A Financial Institution must duly record in the Financial Institution’s exemptions register any approved exemptions and assign an expiration date – the date by which the exemption will be mitigated or resolved by the Financial Institution seeking the exemption.,Data Handling and Protection Regulation.pdf,15,data_handling_and_protection_regulation,Governance,Technical,Low,Exemptions Register; Exemption Management,Ensure the Financial Institution's exemptions register is regularly updated and accessible.
QCB-GAP-P15-I14,MUST,Risk Management,,17.6 A Financial Institution must remain accountable for any risks stemming from approved exemptions.,Data Handling and Protection Regulation.pdf,15,data_handling_and_protection_regulation,Governance,Technical,Low,RiskManagement; Compliance,Ensure that the institution has a clear accountability framework for approved exemptions.
QCB-GAP-P15-I16,MUST,Regulatory Approval,,"Compliance with Secondary Regulations Along with the QCB Law and this regulation, the Financial Institution must also comply with the below mentioned secondary regulations, and their subsequent amendments, while operating in Qatar: 18.1 Sector-Specific Security Regulation.",Data Handling and Protection Regulation.pdf,15,data_handling_and_protection_regulation,Governance,Technical,Low,Secondary Regulations; QCB Law; Compliance,Ensure compliance with secondary regulations and their amendments by regularly reviewing and updating the institution's policies and procedures.
QCB-GAP-P15-I19,MAY,Regulatory Approval,,"18.4 Regulations or Guidelines that may be issued by QCB, including those related to emerging technology.",Data Handling and Protection Regulation.pdf,15,data_handling_and_protection_regulation,Governance,Technical,Low,QCB Regulations; Emerging Technology Guidelines,Review and update QCB regulations and guidelines periodically to ensure they remain relevant and effective.
QCB-GAP-P16-I3,MAY,General,,The following table lists the requirements that may be considered as recommendations by certain financial institutions.,Data Handling and Protection Regulation.pdf,16,data_handling_and_protection_regulation,Governance,Technical,Low,Financial Compliance; Regulatory Compliance,Ensure compliance with financial regulations by regularly reviewing and updating the list of requirements.
